Contenido,Autor,User_Name,Fecha_Posteo,Favs,Rt,Localizacion,compound,pos_score,neg_score,neu_score,Tipo_Sentimiento
So good I had to share Check out all the items Im loving on  from  poshmark fashion style shopmycloset basillola chanel cocacola  ,Candycoco,Candycoco20,Thu Jun 24 23:30:18 +0000 2021,0,0,Va,0.862,0.303,0.0,0.697,POSITIVO
So good I had to share Check out all the items Im loving on  from  poshmark fashion style shopmycloset cocacola tonyhawk laurenralphlauren  ,Birdie Up Golf,BirdieUpGolf,Thu Jun 24 23:28:35 +0000 2021,0,0,"Bay Area, California",0.862,0.303,0.0,0.697,POSITIVO
" memes only graphic designers will understand
Ronaldo CocaCola Photoshop ",Digital Synopsis,DigitalSynopsis,Thu Jun 24 23:24:30 +0000 2021,0,0,,0.0,0.0,0.0,1.0,NEUTRO
A group of CocaCola shareholders is threatening legal action over the company’s diversity policy They say the policy might actually be illegal and would require contracted law firms to violate antidiscrimination laws,NTD News,news_ntd,Thu Jun 24 23:20:01 +0000 2021,41,12,"New York, NY",-0.8658,0.038,0.257,0.705,NEGATIVO
I’m just not so sure allowing athletes to earn money from their name likeness or image when at same time the athletes are being forbidden to seek deals with schools’coaches’ corporate folks will be welcomed by the US Supreme Court Re kroger nike cocacola centralbank ,Oscar Combs,wildcatnews,Thu Jun 24 23:02:34 +0000 2021,3,0,"Lexington, Kentucky",0.1844,0.113,0.099,0.788,POSITIVO
Check out Vintage Coca Cola Things Go Better With Coke Set of  Glasses Libbey   CocaCola  via  ROCteam,simplyshay,simplyshay,Thu Jun 24 22:44:14 +0000 2021,1,2,,0.4404,0.127,0.0,0.873,POSITIVO
" Seems like a lot of the ads during TonightVMTV were made for an African audience 
The anti Man ad from Old Spice not…",Post Your Ads,PostYourAdsBiz,Thu Jun 24 22:28:50 +0000 2021,0,1,,0.0516,0.093,0.086,0.821,POSITIVO
 Check out Vtg  Coca Cola Serving Tray Flapper Girl  Coke Advertisement  x    via …,lizhenze,vernhenze,Thu Jun 24 22:05:39 +0000 2021,0,16,"Pinellas Park, FL",0.0,0.0,0.0,1.0,NEUTRO
"Back in  everyone wanted to get a CocaCola  bottle with their name on it Coca Cola knew that each buyer deserved a personalized experience Keep in mind these  parts of CX amp you’ll be getting similar results 
The buyer’s journey brand touch points and the environment",Virtual Worker Now,virtualworkernw,Thu Jun 24 22:04:07 +0000 2021,0,0,"Los Angeles , CA",0.0,0.0,0.0,1.0,NEUTRO
"Seems like a lot of the ads during TonightVMTV were made for an African audience 
The anti Man ad from Old Spice not doing anyone any favours either 
Irish audiences need to be shown a bit more respect
ps CocaCola is pure piss","Dr D O'Brien (Only a PhD, sorry)",amsickofit,Thu Jun 24 22:03:02 +0000 2021,1,1,"Dublin, Paris & London (OUaT)",0.0772,0.112,0.106,0.782,POSITIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",greenBlt Intl Bld Co,gbibuildingco,Thu Jun 24 21:56:40 +0000 2021,0,32,USA - Worldwide,0.0258,0.106,0.101,0.793,POSITIVO
 TBT to  EssenceFest with  Fam its almost time WATCH the  EssenceFest of Culture “Live Loud…,Christy Henry,Christy48079409,Thu Jun 24 21:40:00 +0000 2021,0,2,,0.0,0.0,0.0,1.0,NEUTRO
"Argentina national team trolling cristiano ronaldo 
CocaCola ",Arnav Raj,wtfarnav,Thu Jun 24 21:29:54 +0000 2021,2,0,,0.0,0.0,0.0,1.0,NEUTRO
 TBT to  EssenceFest with  Fam its almost time WATCH the  EssenceFest of Culture “Live Loud…,seue,seue14,Thu Jun 24 21:22:01 +0000 2021,0,2,,0.0,0.0,0.0,1.0,NEUTRO
TBT to  EssenceFest with  Fam its almost time WATCH the  EssenceFest of Culture “Live Loud” Virtual Experience Presented by CocaCola LIVE on  June  and July  Coke cocacola BlackLove blackexcellence ad ,rolandsmartin,rolandsmartin,Thu Jun 24 21:18:10 +0000 2021,8,2,"Washington, D.C.",0.0,0.0,0.0,1.0,NEUTRO
" Coca Cola Santa Coke Heavy Mug Glass Stein Vending Machine Vintage Christmas  eBay cocacola 
",Freedom Calling,CivilWarEscape,Thu Jun 24 21:13:15 +0000 2021,0,1,"New England, USA",0.0,0.0,0.0,1.0,NEUTRO
CocaCola isare shit ,Witch Supporter General ,cait_hatstand,Thu Jun 24 21:03:11 +0000 2021,2,0,West Midlands,-0.5574,0.0,0.545,0.455,NEGATIVO
 io   If i had to choose my last meal on earth before flying to the moon  it would be a …,iraj karimi,irajkarimi16,Thu Jun 24 20:59:10 +0000 2021,0,1,,0.0,0.0,0.0,1.0,NEUTRO
 benie We want CocaCola to produce  of its plastic bottles from recycled material  Find out more about our new campa…,Ben™  ,_benie,Thu Jun 24 20:58:07 +0000 2021,0,1,"Nakuru, Kenya",0.0772,0.056,0.0,0.944,POSITIVO
"io   If i had to choose my last meal on earth before flying to the moon  it would be a hotdoge       for sure Not a CocaCola
Ronaldo
hotdog
hotdogearmy
NFTartists
DeFi
cryptocurrencies
CryptoNews",iraj karimi,irajkarimi16,Thu Jun 24 20:57:56 +0000 2021,4,1,,0.0,0.0,0.0,1.0,NEUTRO
 io   If i had to choose my last meal on earth before flying to the moon  it would be…,hamed,hamed59341431,Thu Jun 24 20:53:44 +0000 2021,0,2,,0.0,0.0,0.0,1.0,NEUTRO
 io   If i had to choose my last meal on earth before flying to the moon  it would be…,kamran ahmadi,kamrana65089752,Thu Jun 24 20:42:06 +0000 2021,0,2,,0.0,0.0,0.0,1.0,NEUTRO
"io   If i had to choose my last meal on earth before flying to the moon  it would be a hotdoge       for sure Not a CocaCola
Ronaldo
hotdog
hotdogearmy
NFTartists
DeFi
cryptocurrencies
CryptoNews",kamran ahmadi,kamrana65089752,Thu Jun 24 20:38:37 +0000 2021,3,2,,0.0,0.0,0.0,1.0,NEUTRO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",Camilo,Healthyboy777,Thu Jun 24 20:19:46 +0000 2021,0,32,Ukraine,0.0258,0.106,0.101,0.793,POSITIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",anna,anna02491155,Thu Jun 24 20:18:19 +0000 2021,0,32,,0.0258,0.106,0.101,0.793,POSITIVO
 Massive consumer goods companies like CocaCola nestle and Pepsi must reject unnecessary throwaway plastics these co…,Camilo,Healthyboy777,Thu Jun 24 20:15:25 +0000 2021,0,70,Ukraine,-0.0516,0.118,0.127,0.755,NEGATIVO
"In Japan CocaCola  has released a cool Michinoku design featuring Aomori Akita and Iwate designs  It’s only available in the Tohoku region
neat cool collectible",Consulate-General of Japan Calgary,CGJCalgary,Thu Jun 24 20:02:00 +0000 2021,0,0,"Calgary, Alberta",0.3802,0.097,0.0,0.903,POSITIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",José luis Giménez Pérez,gipe1624,Thu Jun 24 19:59:27 +0000 2021,0,32,Quilmes,0.0258,0.106,0.101,0.793,POSITIVO
Coca Cola Santa Coke Heavy Mug Glass Stein Vending Machine Vintage Christmas  eBay cocacola Tweeted via  ,Darryl Smith,SmittyD9199,Thu Jun 24 19:49:05 +0000 2021,1,1,"Buffalo, NY",0.0,0.0,0.0,1.0,NEUTRO
"Fans throw bottle of CocaCola at Ronaldo PHOTO  
 ",NEWS.am Sport,NEWSamSport,Thu Jun 24 19:48:43 +0000 2021,0,0,Armenia,0.0,0.0,0.0,1.0,NEUTRO
"Coca Cola Bottle Shape CocaCola thursdaymorning
",MixMemorabilia,MixMemorabilia,Thu Jun 24 19:37:40 +0000 2021,0,0,Right Left Up Down In The Mix ,0.0,0.0,0.0,1.0,NEUTRO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",Weltraum Rob,weltraum_rob,Thu Jun 24 19:30:45 +0000 2021,0,32,,0.0258,0.106,0.101,0.793,POSITIVO
 A Cute little girl selling green tea Kehwa at Murree Mall Road CocaCola cancelboardexams NCOC SarfarazAhm…,Dr Ahmed Malik,malikahmed001,Thu Jun 24 19:21:28 +0000 2021,0,32,Lahore,0.4588,0.158,0.0,0.842,POSITIVO
 A Cute little girl selling green tea Kehwa at Murree Mall Road CocaCola cancelboardexams NCOC SarfarazAhm…,Yasmin Arshad,IamYasminArshad,Thu Jun 24 19:19:47 +0000 2021,0,32,DGK Pakistan ,0.4588,0.158,0.0,0.842,POSITIVO
Your next Avengers Tower set could be made of CocaCola bottles if LEGO figures out their production process ,michael t. colorge,CAM2Go,Thu Jun 24 19:00:43 +0000 2021,0,0,"Los Angeles, CA",0.0,0.0,0.0,1.0,NEUTRO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",Serious???,masterprogram1,Thu Jun 24 19:00:30 +0000 2021,0,32,Eindhoven,0.0258,0.106,0.101,0.793,POSITIVO
 Massive consumer goods companies like CocaCola nestle and Pepsi must reject unnecessary throwaway plastics these co…,Mariëtte Wonder,wonderbakker,Thu Jun 24 18:55:35 +0000 2021,0,70,"Beverwijk, Nederland",-0.0516,0.118,0.127,0.755,NEGATIVO
"Army My awesome mum got these Coca Cola lip balms for them 
Aren’t they cute ️️
smartdoll CocaCola ",Neko,NYADraws15,Thu Jun 24 18:55:02 +0000 2021,0,13,,0.8122,0.291,0.0,0.709,POSITIVO
 Massive consumer goods companies like CocaCola nestle and Pepsi must reject unnecessary throwaway plastics these co…,Cllr Karen Douglas BeTheChange ,KarenDouglas_NI,Thu Jun 24 18:46:53 +0000 2021,0,70,Northern Ireland,-0.0516,0.118,0.127,0.755,NEGATIVO
"Hats off to this man very creative 
CocaCola cokelovers ",Uswa Aziz,UswaAziz1,Thu Jun 24 18:46:14 +0000 2021,0,0,"Karachi, Pakistan",0.4404,0.225,0.0,0.775,POSITIVO
  and yours truly on the Coke stage at the  essencefest The  Essence Fest of Culture “Live Loud” Virtual Experience Presented by CocaCola will stream on   June  amp July   RolandMartin Coke cocacola BlackLove blackexcellence ,rolandsmartin,rolandsmartin,Thu Jun 24 18:45:35 +0000 2021,9,0,"Washington, D.C.",0.4926,0.076,0.0,0.924,POSITIVO
 Does this means now I can go to Madeira and shit on Ronaldos statue while drinking CocaCola,Is There Any Need!,LondonMond,Thu Jun 24 18:44:57 +0000 2021,0,0,United States,-0.5574,0.0,0.184,0.816,NEGATIVO
Breaking  Coca Cola labels gone wrong  Oigetit CocaCola Labels SourceReliability   This article has been factchecked by Oigetit ,Oigetit Philippines,oigetit_ph,Thu Jun 24 18:38:54 +0000 2021,0,0,Republic of the Philippines,-0.4767,0.0,0.134,0.866,NEGATIVO
Imagine someone watching CRs press conference of the Portugal  Hungary then sips Coke the exact moment Ronaldo refuses coke Ronaldo CocaCola,•Hamza•,Hamzaakd_,Thu Jun 24 18:30:27 +0000 2021,0,0,Wherever you want me to be,0.0,0.0,0.0,1.0,NEUTRO
" junefaizabadprotest
CocaCola Are coming for lahore protester this is come from  ",Raja Rizwan,RajaRiz55083198,Thu Jun 24 18:23:45 +0000 2021,0,22,"Islamabad, Pakistan",0.0,0.0,0.0,1.0,NEUTRO
Inhouse pallet production – a successful case of cost management by CocaCola CocaCola Beverages Africa  innovated  Pallet cost optimisation project with an aim of reducing pallet unit cost by  amp delivering an annual saving of about US  ,The Newz Post,Newzug,Thu Jun 24 18:23:13 +0000 2021,0,0,"Kampala, Uganda",0.7506,0.151,0.0,0.849,POSITIVO
 Check out Vtg  Coca Cola Serving Tray Flapper Girl  Coke Advertisement  x    via …,Gemma Lawrence,TudorTweep,Thu Jun 24 18:11:46 +0000 2021,0,16,"Wild, windy, wonderful Wales",0.0,0.0,0.0,1.0,NEUTRO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",R Ware(hates veganism & loves Greta Thunberg),RWare7,Thu Jun 24 18:09:52 +0000 2021,0,32,"Virginia, United States",0.0258,0.106,0.101,0.793,POSITIVO
" CocaCola lost  billion in market value after soccer star  Ronaldo suggested people drink water instead 
Ti…",mahendra,isumahendra,Thu Jun 24 18:04:33 +0000 2021,0,32,patna,0.0258,0.106,0.101,0.793,POSITIVO
